Epoch 68, Loss 59.2860, TD-Loss 27.1382, NTD-Loss 26.8341, Margin Loss 5.3121, L2 Loss 0.0015
Epoch 69, Loss 50.8539, TD-Loss 25.0891, NTD-Loss 26.4472, Margin Loss -0.6838, L2 Loss 0.0015
Epoch 70, Loss 62.2585, TD-Loss 24.6671, NTD-Loss 29.2981, Margin Loss 8.2919, L2 Loss 0.0015
Epoch 71, Loss 62.3246, TD-Loss 25.5359, NTD-Loss 28.7197, Margin Loss 8.0675, L2 Loss 0.0015
Epoch 72, Loss 62.6632, TD-Loss 26.1064, NTD-Loss 29.3423, Margin Loss 7.2130, L2 Loss 0.0015
Epoch 73, Loss 51.9723, TD-Loss 22.5838, NTD-Loss 24.3485, Margin Loss 5.0385, L2 Loss 0.0015
Epoch 74, Loss 63.4581, TD-Loss 28.1521, NTD-Loss 31.8994, Margin Loss 3.4051, L2 Loss 0.0015
Epoch 75, Loss 65.2790, TD-Loss 29.7703, NTD-Loss 30.3465, Margin Loss 5.1608, L2 Loss 0.0015
Epoch 76, Loss 54.2828, TD-Loss 24.9379, NTD-Loss 26.1426, Margin Loss 3.2009, L2 Loss 0.0015
Epoch 77, Loss 58.8868, TD-Loss 26.2774, NTD-Loss 25.0640, Margin Loss 7.5440, L2 Loss 0.0015
Epoch 78, Loss 56.2450, TD-Loss 26.6903, NTD-Loss 28.1645, Margin Loss 1.3887, L2 Loss 0.0015
Epoch 79, Loss 61.7500, TD-Loss 28.2708, NTD-Loss 30.9798, Margin Loss 2.4979, L2 Loss 0.0015
Epoch 80, Loss 59.9367, TD-Loss 26.6153, NTD-Loss 28.4799, Margin Loss 4.8400, L2 Loss 0.0015
Epoch 81, Loss 61.4514, TD-Loss 27.0123, NTD-Loss 30.5207, Margin Loss 3.9170, L2 Loss 0.0015
Epoch 82, Loss 69.5207, TD-Loss 35.5120, NTD-Loss 34.4861, Margin Loss -0.4789, L2 Loss 0.0015
Epoch 83, Loss 53.3752, TD-Loss 22.3563, NTD-Loss 23.2626, Margin Loss 7.7549, L2 Loss 0.0015
Epoch 84, Loss 62.3554, TD-Loss 30.1430, NTD-Loss 28.6594, Margin Loss 3.5516, L2 Loss 0.0015
Epoch 85, Loss 56.1656, TD-Loss 24.1003, NTD-Loss 27.2827, Margin Loss 4.7811, L2 Loss 0.0015
Epoch 86, Loss 49.4187, TD-Loss 32.0569, NTD-Loss 25.9823, Margin Loss -8.6220, L2 Loss 0.0015
Epoch 87, Loss 55.3721, TD-Loss 21.1532, NTD-Loss 26.4348, Margin Loss 7.7826, L2 Loss 0.0015
Epoch 88, Loss 65.5593, TD-Loss 27.0680, NTD-Loss 31.2050, Margin Loss 7.2848, L2 Loss 0.0015
Epoch 89, Loss 86.7742, TD-Loss 37.1158, NTD-Loss 40.7892, Margin Loss 8.8677, L2 Loss 0.0015
Epoch 90, Loss 67.2530, TD-Loss 32.7450, NTD-Loss 34.4877, Margin Loss 0.0188, L2 Loss 0.0015
Epoch 91, Loss 45.9039, TD-Loss 18.7996, NTD-Loss 20.6443, Margin Loss 6.4586, L2 Loss 0.0015
Epoch 92, Loss 50.8790, TD-Loss 21.7162, NTD-Loss 24.3744, Margin Loss 4.7870, L2 Loss 0.0015
Epoch 93, Loss 55.4128, TD-Loss 26.9078, NTD-Loss 25.8117, Margin Loss 2.6919, L2 Loss 0.0015
Epoch 94, Loss 51.6007, TD-Loss 23.3431, NTD-Loss 24.1752, Margin Loss 4.0809, L2 Loss 0.0015
Epoch 95, Loss 52.7853, TD-Loss 24.0449, NTD-Loss 24.5824, Margin Loss 4.1565, L2 Loss 0.0015
Epoch 96, Loss 70.4042, TD-Loss 28.8343, NTD-Loss 33.3169, Margin Loss 8.2515, L2 Loss 0.0015
Epoch 97, Loss 67.8469, TD-Loss 30.4080, NTD-Loss 31.7193, Margin Loss 5.7181, L2 Loss 0.0015
Epoch 98, Loss 75.4248, TD-Loss 32.9722, NTD-Loss 37.2286, Margin Loss 5.2226, L2 Loss 0.0015
Epoch 99, Loss 71.7378, TD-Loss 35.9556, NTD-Loss 34.6970, Margin Loss 1.0838, L2 Loss 0.0015
Epoch 100, Loss 63.9970, TD-Loss 11.2367, NTD-Loss 41.4063, Margin Loss 11.3525, L2 Loss 0.0015
Epoch 101, Loss 55.4867, TD-Loss 12.6375, NTD-Loss 36.8822, Margin Loss 5.9655, L2 Loss 0.0015
Epoch 102, Loss 41.2806, TD-Loss 14.9141, NTD-Loss 25.9408, Margin Loss 0.4242, L2 Loss 0.0015
Epoch 103, Loss 34.5896, TD-Loss 17.4984, NTD-Loss 27.2605, Margin Loss -10.1708, L2 Loss 0.0015
Epoch 104, Loss 58.1475, TD-Loss 19.2887, NTD-Loss 30.9706, Margin Loss 7.8867, L2 Loss 0.0015
Epoch 105, Loss 47.9513, TD-Loss 15.9175, NTD-Loss 26.5897, Margin Loss 5.4426, L2 Loss 0.0015
Epoch 106, Loss 37.8689, TD-Loss 10.9567, NTD-Loss 19.4942, Margin Loss 7.4165, L2 Loss 0.0015
