Epoch 117, Loss 39.8998, TD-Loss 17.8396, NTD-Loss 21.1213, Margin Loss 0.9373, L2 Loss 0.0016
Epoch 118, Loss 38.0880, TD-Loss 17.2074, NTD-Loss 19.2122, Margin Loss 1.6668, L2 Loss 0.0016
Epoch 119, Loss 37.2247, TD-Loss 17.0264, NTD-Loss 19.0188, Margin Loss 1.1779, L2 Loss 0.0016
Epoch 120, Loss 34.6730, TD-Loss 15.3996, NTD-Loss 17.9974, Margin Loss 1.2745, L2 Loss 0.0016
Epoch 121, Loss 32.5596, TD-Loss 15.0216, NTD-Loss 16.3657, Margin Loss 1.1708, L2 Loss 0.0016
Epoch 122, Loss 41.5628, TD-Loss 20.6342, NTD-Loss 20.9736, Margin Loss -0.0466, L2 Loss 0.0016
Epoch 123, Loss 32.6514, TD-Loss 14.5134, NTD-Loss 17.2115, Margin Loss 0.9249, L2 Loss 0.0016
Epoch 124, Loss 32.1233, TD-Loss 15.3427, NTD-Loss 17.7462, Margin Loss -0.9673, L2 Loss 0.0016
Epoch 125, Loss 37.1323, TD-Loss 17.2170, NTD-Loss 19.3490, Margin Loss 0.5647, L2 Loss 0.0016
Epoch 126, Loss 31.7200, TD-Loss 14.7225, NTD-Loss 15.4586, Margin Loss 1.5373, L2 Loss 0.0016
Epoch 127, Loss 33.2788, TD-Loss 15.6289, NTD-Loss 16.7456, Margin Loss 0.9028, L2 Loss 0.0016
Epoch 128, Loss 31.8143, TD-Loss 14.4927, NTD-Loss 15.7616, Margin Loss 1.5585, L2 Loss 0.0016
Epoch 129, Loss 34.8723, TD-Loss 16.2431, NTD-Loss 17.3794, Margin Loss 1.2482, L2 Loss 0.0016
Epoch 130, Loss 31.7967, TD-Loss 15.4278, NTD-Loss 16.4536, Margin Loss -0.0862, L2 Loss 0.0016
Epoch 131, Loss 29.3696, TD-Loss 12.9584, NTD-Loss 14.7791, Margin Loss 1.6305, L2 Loss 0.0016
Epoch 132, Loss 42.0648, TD-Loss 19.3637, NTD-Loss 20.7929, Margin Loss 1.9067, L2 Loss 0.0016
Epoch 133, Loss 32.3378, TD-Loss 16.0941, NTD-Loss 16.5984, Margin Loss -0.3563, L2 Loss 0.0016
Epoch 134, Loss 27.8207, TD-Loss 12.6344, NTD-Loss 13.1169, Margin Loss 2.0678, L2 Loss 0.0016
Epoch 135, Loss 32.7783, TD-Loss 14.7802, NTD-Loss 16.1041, Margin Loss 1.8924, L2 Loss 0.0016
Epoch 136, Loss 35.5526, TD-Loss 16.6372, NTD-Loss 17.4235, Margin Loss 1.4903, L2 Loss 0.0016
Epoch 137, Loss 37.6110, TD-Loss 17.2878, NTD-Loss 18.6100, Margin Loss 1.7117, L2 Loss 0.0016
Epoch 138, Loss 38.5375, TD-Loss 17.2716, NTD-Loss 19.1439, Margin Loss 2.1203, L2 Loss 0.0016
Epoch 139, Loss 33.8317, TD-Loss 16.2380, NTD-Loss 17.2941, Margin Loss 0.2980, L2 Loss 0.0016
Epoch 140, Loss 39.7514, TD-Loss 17.6442, NTD-Loss 19.6386, Margin Loss 2.4670, L2 Loss 0.0016
Epoch 141, Loss 34.0479, TD-Loss 15.5648, NTD-Loss 16.4657, Margin Loss 2.0157, L2 Loss 0.0016
Epoch 142, Loss 41.1996, TD-Loss 19.8259, NTD-Loss 20.9708, Margin Loss 0.4013, L2 Loss 0.0016
Epoch 143, Loss 40.6353, TD-Loss 19.5023, NTD-Loss 19.5385, Margin Loss 1.5929, L2 Loss 0.0016
